Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Кагор Высшего Качества,Красное,Тёмно-рубиновый,Крым,"Бастардо, Каберне Совиньон, Каберне Фран","В аромате джемовые тона, ноты чернослива, красных и чёрных ягод, шоколада. Вкус бархатистый, послевкусие долгое, обволакивающие, умеренная танинность, оттенки свежих и сушеных красных и черных ягод.",ЗМВ Коктебель,zmv-koktebel-kagor-vysshego-kachestva-kaberne-sovinon-krasnoe-sladkoe-16,zmv-koktebel-kagor-vysshego-kachestva-kaberne-sovinon-krasnoe-sladkoe-16.webp,prod-svoe-vino-strapi\zmv_koktebel_kagor_vysshego_kachestva_kaberne_sovinon_krasnoe_sladkoe_16_d2bf326549.webp,ok,1,False,
Кагор Гурзуф,Красное,Тёмно-рубиновый,Крым,"Бастардо Магарачский, Каберне Совиньон, Саперави","Аромат с доминантой черносмородинового джема и сливок; вкус полный, насыщенный, тельное, округлое, с прекрасным балансом сладости и кислотности, нотами чёрных ягод и шоколада в продолжительном послевкусии. К мороженому, сладостям, фруктам и пасхальным куличам.",Массандра,massandra-kagor-gurzuf-saperavi-krasnoe-sladkoe-16,massandra-kagor-gurzuf-saperavi-krasnoe-sladkoe-16.webp,prod-svoe-vino-strapi\massandra_kagor_gurzuf_saperavi_krasnoe_sladkoe_16_deb9b34e9f.webp,ok,1,False,
Кагор Южнобережный,Красное,"Тёмно-гранатовый, густой",Крым,Саперави,"Аромат тёплый, насыщенный, с нотами чернослива, шоколада и дубовой пряности — результат выдержки в бочках свыше трёх лет; вкус гармоничный, полное, бархатистое, с нотами тёмных ягод, черносмородинового джема и ванили. К шоколадным десертам, куличам, зрелым сырам.",Массандра,massandra-kagor-yuzhnoberezhnyy-saperavi-krasnoe-sladkoe-16,massandra-kagor-yuzhnoberezhnyy-saperavi-krasnoe-sladkoe-16.webp,prod-svoe-vino-strapi\massandra_kagor_yuzhnoberezhnyy_saperavi_krasnoe_sladkoe_16_3299446389.webp,ok,1,False,
Казачье,Красное,Насыщенный фиолетово-вишневый,Долина Дона,Красностоп Золотовский,"Вкус: Интенсивный, многослойный, с мягкими нотами сухофруктов, шоколада и ванили. Фруктово-пряный с яркими акцентами темных ягод и теплых специй, тонкими нюансами соли, овощей, лакрицы и чернослива.",Дача Сердюка,dacha-serdyuka-kazache-krasnostop-zolotovskiy-krasnoe-suhoe-135,dacha-serdyuka-kazache-krasnostop-zolotovskiy-krasnoe-suhoe-135.webp,prod-svoe-vino-strapi\dacha_serdyuka_kazache_krasnostop_zolotovskiy_krasnoe_suhoe_135_4d9bef956f.webp,ok,1,False,
Каменоломня,Красное,Тёмно-фиолетовый,Крым,Сира,"В аромате ежевика, черноплодная рябина, черная слива, чернослив в горьком шоколаде, кофе, черный перец, копчёности, кожа, табачные листья. Во вкусе кислотность средняя, танины высокие, бархатистые, полнотелое, послевкусие длительное.",Le K2,le-k2-kamenolomnya-sira-krasnoe-suhoe-145,le-k2-kamenolomnya-sira-krasnoe-suhoe-145.webp,prod-svoe-vino-strapi\le_k2_kamenolomnya_sira_krasnoe_suhoe_145_36f41af0e8.webp,ok,1,False,
Кангун,Белое,Светло-соломенный с золотистым оттенком,Крым,Кангун,"Вкус: С яркой живой кислотность и минеральным послевкусием С оттенками цветущей айвы, белого персика, подсушенной цедры грейпфрута, легкими нюансами фенхеля и тимьяна.",Bakla Vines,bakla-vines-kangun-beloe-suhoe-12,bakla-vines-kangun-beloe-suhoe-12.webp,prod-svoe-vino-strapi\bakla_vines_kangun_beloe_suhoe_12_6f20bb8dda.webp,ok,1,False,
Кангун P.S.,Белое,Светло-соломенный,Крым,Кангун,"Вкус: Свежий, с выразительной кислотностью и продолжительным послевкусием Дюшес, с нотами алычи и спелого крыжовника.",Bakla Vines,bakla-vines-kangun-ps-beloe-suhoe-128,bakla-vines-kangun-ps-beloe-suhoe-128.webp,prod-svoe-vino-strapi\bakla_vines_kangun_ps_beloe_suhoe_128_213dcbb9eb.webp,ok,1,False,
Кангун Оранж,Белое,Янтарно-золотой,Крым,Кангун,Вкус: Фруктово-пряный,Bakla Vines,bakla-vines-kangun-oranzh-beloe-suhoe-119,bakla-vines-kangun-oranzh-beloe-suhoe-119.webp,prod-svoe-vino-strapi\bakla_vines_kangun_oranzh_beloe_suhoe_119_f52f04331a.webp,ok,1,False,
Канонические Традиции Красное Полусладкое,Красное,Вино глубокого рубиново-красного цвета.,Кубань,"Каберне Совиньон, Мерло","Вкус вина мягкий, нежный, бархатистый, с идеальным балансом сладости и тонкой кислотности, с фруктово-ягодными оттенками и обволакивающим послевкусием.",Союз-Вино,soyuz-vino-kanonicheskie-traditsii-krasnoe-polusladkoe-kaberne-sovinon-115,soyuz-vino-kanonicheskie-traditsii-krasnoe-polusladkoe-kaberne-sovinon-115.webp,prod-svoe-vino-strapi\soyuz_vino_kanonicheskie_traditsii_krasnoe_polusladkoe_kaberne_sovinon_115_e1f1bb8027.webp,ok,1,False,
Канонические Традиции Красное Сладкое,Красное,У вина глубокий красно-рубиновый цвет.,Кубань,"Каберне Совиньон, Мерло","Вино демонстрирует мягкий, гармоничный, хорошо сбалансированный вкус с акцентами кожи, табака и фруктов, приятной сладостью и длительным послевкусием.",Союз-Вино,soyuz-vino-kanonicheskie-traditsii-krasnoe-sladkoe-kaberne-sovinon-115,soyuz-vino-kanonicheskie-traditsii-krasnoe-sladkoe-kaberne-sovinon-115.webp,prod-svoe-vino-strapi\soyuz_vino_kanonicheskie_traditsii_krasnoe_sladkoe_kaberne_sovinon_115_7b60103360.webp,ok,1,False,
Каприз,Белое,Вино бледно-лимонного цвета.,Крым,Мускат Белый,"Яркий сортовой аромат с манящими оттенками спелых абрикосов и персиков, весеннего меда, акации, цитрусовых цукатов и леденцов. Вкус полный, сбалансированный, с мягкой кислотностью. В послевкусии сочные цитрусовые ноты.",Шато Ай-Даниль,shato-ay-danil-kapriz-muskat-belyy-beloe-suhoe-135,shato-ay-danil-kapriz-muskat-belyy-beloe-suhoe-135.webp,prod-svoe-vino-strapi\shato_ay_danil_kapriz_muskat_belyy_beloe_suhoe_135_13f73381b3.webp,ok,1,False,
Карбон,Красное,Рубиново-пурпурный,Крым,Саперави,"Вкус: Мягкий, с бархатистой текстурой, фруктово-пряным профилем и тонкими танинами в длительном послевкусии. Многогранный с оттенками вишни, ежевики, черники, пряностей и черного перца.",Винодельня Жаков,vinodelnya-zhakov-karbon-saperavi-krasnoe-suhoe-126,vinodelnya-zhakov-karbon-saperavi-krasnoe-suhoe-126.webp,prod-svoe-vino-strapi\vinodelnya_zhakov_karbon_saperavi_krasnoe_suhoe_126_7c676ef0b4.webp,ok,1,False,
"Карбон Глю, 2024 ",Красное,Темно-фиолетовый,Крым,Сира,"Вино насыщенного темно-фиолетового цвета с яркой выраженной ягодной ароматикой, приятным мягким, почти незаметным танином и высокой кислотностью. Во вкусе вино раскрывается подбродившими черными и красными ягодами с еле различимыми нюансами специй",Коммуналка,karbon-glyu-2024,DSC09171.webp,prod-svoe-vino-strapi\DSC_09171_f04d8d1b64.webp,ok,1,False,
